,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Unnamed: 9_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,Unnamed: 24_level_0
11,2019-11-09,15:00 (17:00),Matchweek 12,Sat,Away,W,2,1,Southampton,433,371,62,14,2,3,26,29,9,0,8,0,302,0,12,Match Report
12,2019-11-23,15:00 (17:00),Matchweek 13,Sat,Home,L,0,2,Norwich City,477,418,59,10,1,6,33,34,7,3,4,0,349,0,11,Match Report
13,2019-12-01,16:30 (18:30),Matchweek 14,Sun,Away,L,1,2,Leicester City,325,278,44,8,1,4,22,20,4,1,3,0,212,3,8,Match Report
14,2019-12-04,20:15 (22:15),Matchweek 15,Wed,Away,L,2,5,Liverpool,395,338,54,15,3,3,26,22,6,0,5,0,271,3,7,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Home,W,3,1,Chelsea,289,239,48,12,2,3,12,20,1,1,0,0,175,2,6,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,D,1,1,Manchester Utd,305,254,48,11,0,1,18,19,5,5,0,0,196,3,9,Match Report
17,2019-12-21,12:30 (14:30),Matchweek 18,Sat,Home,D,0,0,Arsenal,405,356,49,11,0,5,23,26,5,2,3,0,305,0,9,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Burnley,591,529,62,14,1,3,33,32,10,6,2,2,467,0,9,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,W,2,1,Newcastle Utd,490,437,51,14,3,3,25,19,8,5,2,0,376,2,8,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,L,1,2,Manchester City,437,390,46,14,2,3,12,18,6,1,5,0,336,1,10,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,1,0,Brighton,546,499,45,9,2,2,27,21,4,4,0,0,416,2,9,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,West Ham,502,459,42,14,4,3,25,12,6,3,3,0,384,1,9,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,D,2,2,Newcastle Utd,615,564,50,9,4,6,24,25,6,4,1,0,501,1,12,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,W,3,2,Watford,490,438,50,16,0,4,26,18,4,4,0,0,355,2,7,Match Report
25,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Home,W,3,1,Crystal Palace,418,361,56,13,2,4,24,28,4,2,2,0,299,1,10,Match Report
28,2020-02-23,16:30 (18:30),Matchweek 27,Sun,Away,L,2,3,Arsenal,505,457,46,14,1,3,23,19,3,2,0,0,417,2,14,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Home,D,1,1,Manchester Utd,384,327,54,10,3,4,28,22,13,12,1,0,269,3,10,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Away,L,0,4,Chelsea,456,422,33,8,2,2,14,15,1,0,0,0,354,1,6,Match Report
31,2020-06-21,19:00 (20:00),Matchweek 30,Sun,Home,D,0,0,Liverpool,286,235,49,13,0,4,3,22,1,1,0,0,192,2,7,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,W,1,0,Norwich City,544,503,40,8,1,10,20,22,5,2,3,0,428,1,10,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,W,2,1,Leicester City,361,314,47,10,0,3,6,21,3,3,0,0,266,0,8,Match Report
34,2020-07-06,20:00 (21:00),Matchweek 33,Mon,Away,L,0,1,Tottenham,456,405,49,15,1,2,22,16,6,5,0,0,357,2,10,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Home,D,1,1,Southampton,362,318,41,13,2,2,12,15,3,3,0,0,260,3,6,Match Report
36,2020-07-12,12:00 (13:00),Matchweek 35,Sun,Away,L,0,3,Wolves,485,449,36,10,1,3,13,14,2,0,2,0,392,0,10,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Home,D,1,1,Aston Villa,491,450,41,13,0,5,30,12,5,4,0,0,402,0,9,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Away,W,1,0,Sheffield Utd,515,464,49,12,0,10,7,24,1,1,0,0,400,2,7,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,3,Bournemouth,741,697,44,10,1,5,21,23,2,1,1,0,631,0,16,Match Report
40,,,,,,13-10-15,44,56,,17736,15790,1888,463,55,165,804,853,203,105,80,2,13433,58,362,
