,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Unnamed: 35_level_0
14,2019-12-04,20:15 (22:15),Matchweek 15,Wed,Away,L,2,5,Liverpool,5,5,0,0.0,0,2.7,-2.3,0,0,0,0,4,16,25.0,21,5,57.1,42.2,5,80.0,60.0,9,0,0.0,0,13.0,Match Report
15,2019-12-07,12:30 (14:30),Matchweek 16,Sat,Home,W,3,1,Chelsea,4,1,3,75.0,0,0.7,-0.3,0,0,0,0,13,34,38.2,22,0,95.5,63.3,13,100.0,72.5,19,0,0.0,0,17.0,Match Report
16,2019-12-15,14:00 (16:00),Matchweek 17,Sun,Away,D,1,1,Manchester Utd,8,1,7,87.5,0,1.1,+0.1,0,0,0,0,9,35,25.7,26,1,92.3,56.5,11,100.0,68.0,22,0,0.0,0,4.0,Match Report
17,2019-12-21,12:30 (14:30),Matchweek 18,Sat,Home,D,0,0,Arsenal,2,0,2,100.0,1,0.5,+0.5,0,0,0,0,10,20,50.0,24,3,62.5,46.5,6,83.3,61.7,13,0,0.0,0,11.5,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Burnley,0,0,0,,1,0.0,0.0,0,0,0,0,8,24,33.3,38,5,55.3,39.8,5,60.0,48.2,7,0,0.0,0,,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,W,2,1,Newcastle Utd,5,1,4,80.0,0,1.4,+0.4,0,0,0,0,7,25,28.0,31,9,61.3,43.7,8,75.0,56.5,23,2,8.7,0,7.0,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,L,1,2,Manchester City,7,2,5,71.4,0,2.1,+0.1,0,0,0,0,14,29,48.3,46,5,56.5,43.2,5,60.0,45.6,9,0,0.0,2,21.0,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,1,0,Brighton,2,0,2,100.0,1,1.1,+1.1,0,0,0,0,5,19,26.3,31,5,41.9,37.6,10,60.0,51.6,9,0,0.0,1,19.5,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,West Ham,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,5,20,25.0,27,5,51.9,39.2,8,75.0,53.3,23,1,4.3,0,8.5,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,D,2,2,Newcastle Utd,3,2,1,33.3,0,1.7,-0.3,0,0,0,0,4,17,23.5,30,3,36.7,32.4,7,85.7,59.6,12,1,8.3,1,12.0,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,W,3,2,Watford,2,2,0,0.0,0,0.5,-1.5,0,0,0,0,8,25,32.0,29,3,62.1,44.9,9,77.8,53.7,10,0,0.0,2,27.0,Match Report
25,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,SoTA,GA,Saves,Save%,CS,PSxG,PSxG+/-,PKatt,PKA,PKsv,PKm,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Home,W,3,1,Crystal Palace,2,1,1,50.0,0,0.9,-0.1,0,0,0,0,7,18,38.9,21,7,52.4,40.9,9,77.8,54.3,14,2,14.3,0,7.0,Match Report
28,2020-02-23,16:30 (18:30),Matchweek 27,Sun,Away,L,2,3,Arsenal,4,3,1,25.0,0,2.1,-0.9,0,0,0,0,3,11,27.3,29,6,34.5,33.5,6,16.7,15.8,12,0,0.0,0,11.5,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Home,D,1,1,Manchester Utd,5,1,4,80.0,0,1.3,+0.3,0,0,0,0,11,20,55.0,23,4,65.2,43.8,7,71.4,49.6,15,2,13.3,0,8.0,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Away,L,0,4,Chelsea,11,4,7,63.6,0,4.3,+0.3,0,0,0,0,4,9,44.4,29,11,27.6,28.2,4,25.0,24.0,10,4,40.0,1,12.4,Match Report
31,2020-06-21,19:00 (20:00),Matchweek 30,Sun,Home,D,0,0,Liverpool,3,0,3,100.0,1,0.4,+0.4,0,0,0,0,3,24,12.5,24,3,70.8,50.0,12,58.3,43.3,12,2,16.7,0,5.0,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,W,1,0,Norwich City,1,0,1,100.0,1,0.1,+0.1,0,0,0,0,7,16,43.8,39,6,38.5,33.7,4,25.0,29.8,18,0,0.0,0,11.5,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,W,2,1,Leicester City,3,1,2,66.7,0,1.3,+0.3,0,0,0,0,12,28,42.9,35,3,60.0,43.6,8,87.5,63.3,26,1,3.8,0,7.7,Match Report
34,2020-07-06,20:00 (21:00),Matchweek 33,Mon,Away,L,0,1,Tottenham,2,1,2,50.0,0,0.1,+0.1,0,0,0,0,2,7,28.6,19,3,31.6,29.0,7,14.3,19.4,11,1,9.1,2,16.3,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Home,D,1,1,Southampton,4,1,3,75.0,0,1.4,+0.4,1,0,0,1,6,19,31.6,27,2,48.1,38.0,8,75.0,55.0,15,0,0.0,2,15.5,Match Report
36,2020-07-12,12:00 (13:00),Matchweek 35,Sun,Away,L,0,3,Wolves,7,3,4,71.4,0,2.6,-0.4,1,1,0,0,3,5,60.0,18,8,16.7,20.3,6,33.3,28.2,9,1,11.1,0,7.0,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Home,D,1,1,Aston Villa,1,1,0,0.0,0,0.5,-0.5,0,0,0,0,8,15,53.3,28,6,50.0,38.1,9,11.1,17.3,22,0,0.0,0,,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Away,W,1,0,Sheffield Utd,0,0,0,,1,0.0,0.0,0,0,0,0,6,20,30.0,52,10,26.9,32.4,6,100.0,73.2,25,0,0.0,0,6.7,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,3,Bournemouth,7,3,4,71.4,0,1.7,-1.3,1,1,0,0,3,6,50.0,32,10,15.6,25.2,5,20.0,27.2,20,2,10.0,0,7.3,Match Report
40,,,,,,13-10-15,44,56,,147,56,94,63.9,9,50.2,-2.8,4,3,0,1,270,730,37.0,1115,195,50.8,40.1,264,62.1,48.5,510,24,4.7,25,13.4,
