,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,Unnamed: 24_level_0
17,2019-12-21,12:30 (14:30),Matchweek 18,Sat,Home,D,0,0,Arsenal,43,507,39,146,227,141,21,507,12,19,63.2,22,7,300,37,Match Report
18,2019-12-26,15:00 (17:00),Matchweek 19,Thu,Home,W,1,0,Burnley,67,668,53,208,312,155,24,668,12,22,54.5,9,10,459,29,Match Report
19,2019-12-28,15:00 (17:00),Matchweek 20,Sat,Away,W,2,1,Newcastle Utd,57,621,87,225,239,162,30,621,9,16,56.3,16,7,372,27,Match Report
20,2020-01-01,17:30 (19:30),Matchweek 21,Wed,Away,L,1,2,Manchester City,35,523,77,230,214,81,12,523,10,15,66.7,12,5,333,16,Match Report
21,2020-01-11,15:00 (17:00),Matchweek 22,Sat,Home,W,1,0,Brighton,53,674,74,198,303,177,30,674,9,16,56.3,10,6,414,34,Match Report
22,2020-01-18,15:00 (17:00),Matchweek 23,Sat,Away,D,1,1,West Ham,50,622,72,217,267,148,20,622,6,10,60.0,15,12,382,32,Match Report
23,2020-01-21,19:30 (21:30),Matchweek 24,Tue,Home,D,2,2,Newcastle Utd,55,734,53,195,370,177,24,734,9,15,60.0,18,3,498,31,Match Report
24,2020-02-01,15:00 (17:00),Matchweek 25,Sat,Away,W,3,2,Watford,55,590,60,191,275,132,18,590,11,16,68.8,14,10,354,32,Match Report
25,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,For Everton,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
26,Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
27,2020-02-08,12:30 (14:30),Matchweek 26,Sat,Home,W,3,1,Crystal Palace,47,552,67,180,219,161,24,552,12,18,66.7,25,9,296,20,Match Report
28,2020-02-23,16:30 (18:30),Matchweek 27,Sun,Away,L,2,3,Arsenal,49,596,72,194,246,165,28,596,6,13,46.2,9,6,415,21,Match Report
29,2020-03-01,14:00 (16:00),Matchweek 28,Sun,Home,D,1,1,Manchester Utd,44,513,65,175,184,161,25,513,12,15,80.0,16,13,264,22,Match Report
30,2020-03-08,14:00 (16:00),Matchweek 29,Sun,Away,L,0,4,Chelsea,40,532,60,179,275,82,7,532,11,14,78.6,13,10,354,21,Match Report
31,2020-06-21,19:00 (20:00),Matchweek 30,Sun,Home,D,0,0,Liverpool,31,389,79,217,128,46,10,389,7,13,53.8,6,10,192,8,Match Report
32,2020-06-24,18:00 (19:00),Matchweek 31,Wed,Away,W,1,0,Norwich City,53,654,70,229,298,127,17,654,11,16,68.8,11,10,424,29,Match Report
33,2020-07-01,18:00 (19:00),Matchweek 32,Wed,Home,W,2,1,Leicester City,35,487,83,216,183,94,8,486,13,17,76.5,10,11,261,13,Match Report
34,2020-07-06,20:00 (21:00),Matchweek 33,Mon,Away,L,0,1,Tottenham,48,545,55,169,276,108,7,545,7,7,100.0,17,13,356,26,Match Report
35,2020-07-09,18:00 (19:00),Matchweek 34,Thu,Home,D,1,1,Southampton,39,489,85,221,208,65,11,489,10,16,62.5,13,7,255,15,Match Report
36,2020-07-12,12:00 (13:00),Matchweek 35,Sun,Away,L,0,3,Wolves,45,560,66,184,299,79,12,560,7,10,70.0,9,6,387,16,Match Report
37,2020-07-16,18:00 (19:00),Matchweek 36,Thu,Home,D,1,1,Aston Villa,54,583,85,212,254,120,21,583,11,12,91.7,17,8,396,33,Match Report
38,2020-07-20,18:00 (19:00),Matchweek 37,Mon,Away,W,1,0,Sheffield Utd,49,624,116,357,195,76,10,624,7,16,43.8,19,8,399,20,Match Report
39,2020-07-26,16:00 (17:00),Matchweek 38,Sun,Home,L,1,3,Bournemouth,69,878,95,306,389,190,30,878,14,23,60.9,16,9,630,31,Match Report
40,,,,,,13-10-15,44,56,,49.0,21914,2523,7396,9517,5228,831,21913,374,609,61.4,593,345,13301,1009,
