,Player,Nation,Pos,Squad,Age,Born,Playing Time | MP,Playing Time | Starts,Playing Time | Min,Playing Time | 90s,Performance | Gls,Performance | Ast,Performance | G-PK,Performance | PK,Performance | PKatt,Performance | CrdY,Performance | CrdR,Per 90 Minutes | Gls,Per 90 Minutes | Ast,Per 90 Minutes | G+A,Per 90 Minutes | G-PK,Per 90 Minutes | G+A-PK,Expected | xG,Expected | npxG,Expected | xAG,Expected | npxG+xAG,Per 90 Minutes | xG,Per 90 Minutes | xAG,Per 90 Minutes | xG+xAG,Per 90 Minutes | npxG,Per 90 Minutes | npxG+xAG,Cmp,Total | Att,Total | Cmp%,Total | TotDist,Total | PrgDist,Short | Cmp,Short | Att,Short | Cmp%,Medium | Cmp,Medium | Att,Medium | Cmp%,Long | Cmp,Long | Att,Long | Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types | Live,Pass Types | Dead,Pass Types | FK,Pass Types | TB,Pass Types | Sw,Pass Types | Crs,Pass Types | TI,Pass Types | CK,Corner Kicks | In,Corner Kicks | Out,Corner Kicks | Str,Outcomes | Cmp,Outcomes | Off,Outcomes | Blocks,SCA | SCA,SCA | SCA90,SCA Types | PassLive,SCA Types | PassDead,SCA Types | Drib,SCA Types | Sh,SCA Types | Fld,SCA Types | Def,GCA | GCA,GCA | GCA90,GCA Types | PassLive,GCA Types | PassDead,GCA Types | Drib,GCA Types | Sh,GCA Types | Fld,GCA Types | Def,Tackles | Tkl,Tackles | TklW,Tackles | Def 3rd,Tackles | Mid 3rd,Tackles | Att 3rd,Vs Dribbles | Tkl,Vs Dribbles | Att,Vs Dribbles | Tkl%,Vs Dribbles | Past,Blocks | Blocks,Blocks | Sh,Blocks | Pass,Int,Tkl+Int,Clr,Err,Touches | Touches,Touches | Def Pen,Touches | Def 3rd,Touches | Mid 3rd,Touches | Att 3rd,Touches | Att Pen,Touches | Live,Dribbles | Succ,Dribbles | Att,Dribbles | Succ%,Dribbles | Mis,Dribbles | Dis,Receiving | Rec,Receiving | Prog,Playing Time | Mn/MP,Playing Time | Min%,Starts | Mn/Start,Starts | Compl,Subs | Subs,Subs | Mn/Sub,Subs | unSub,Team Success | PPM,Team Success | onG,Team Success | onGA,Team Success | +/-,Team Success | +/-90,Team Success | On-Off,Team Success (xG) | onxG,Team Success (xG) | onxGA,Team Success (xG) | xG+/-,Team Success (xG) | xG+/-90,Team Success (xG) | On-Off,Performance | 2CrdY,Performance | Fls,Performance | Fld,Performance | Off,Crs,TklW,Performance | PKwon,Performance | PKcon,Performance | OG,Performance | Recov,Aerial Duels | Won,Aerial Duels | Lost,Aerial Duels | Won%,Gls,Standard | Sh,Standard | SoT,Standard | SoT%,Standard | Sh/90,Standard | SoT/90,Standard | G/Sh,Standard | G/SoT,Standard | Dist,Standard | FK,Expected | npxG/Sh,Expected | G-xG,Expected | np:G-xG
270,Sean Longstaff,ENG,MF,Newcastle Utd,21,1997,23,14,1378,15.3,1,1,1,0,0,2,1,0.07,0.07,0.13,0.07,0.13,1.4,1.4,1.2,2.5,0.09,0.08,0.17,0.09,0.17,509,666,76.4,8654,2265,239,282,84.8,186,221,84.2,56,106,52.8,1,1.2,0.7,-0.2,15,37,5,1,30,666,609,56,41,1,11,33,1,12,6,3,0,509,1,16,37,2.42,20,9,1,2,2,3,3,0.2,1,0,0,1,0,1,35,19,17,16,2,20,50,40.0,30,23,5,18,19,54,20,2,851,39,202,498,154,7,851,7,18,38.9,26,16,496,12,60,40.3,84.0,11,9,23.0,3,1.13,15,26,-11,-0.72,-0.32,11.3,24.5,-13.2,-0.86,-0.11,0,17,26,0,33,19,0,0,0,73,17,21,44.7,1.0,25.0,7.0,28.0,1.63,0.46,0.04,0.14,24.8,3.0,0.05,-0.4,-0.4
271,Dejan Lovren,CRO,DF,Liverpool,30,1989,10,9,777,8.6,0,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,0.4,0.4,0.3,0.7,0.05,0.04,0.08,0.05,0.08,569,683,83.3,10756,3678,199,229,86.9,321,348,92.2,46,94,48.9,1,0.3,0.4,0.7,1,34,4,0,30,683,666,17,14,2,5,0,3,0,0,0,0,569,0,1,5,0.58,5,0,0,0,0,0,2,0.23,2,0,0,0,0,0,13,8,10,3,0,7,12,58.3,5,9,6,3,10,23,42,0,776,79,338,416,24,15,776,1,1,100.0,1,0,517,3,78,22.7,84.0,8,1,18.0,10,2.5,19,11,8,0.93,-0.57,15.4,9.4,6.0,0.69,-0.17,0,4,8,0,0,8,0,0,0,51,48,27,64.0,0.0,5.0,1.0,20.0,0.58,0.12,0.0,0.0,8.6,0.0,0.08,-0.4,-0.4
272,Matthew Lowton,ENG,DF,Burnley,30,1989,17,17,1530,17.0,0,1,0,0,0,2,0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,1.2,1.2,0.0,0.07,0.07,0.0,0.07,509,755,67.4,8880,4036,253,288,87.8,196,282,69.5,52,155,33.5,1,1.2,1.0,-0.2,11,48,18,8,56,755,588,162,8,2,6,45,154,0,0,0,0,509,5,14,30,1.76,21,2,1,1,2,3,2,0.12,1,0,0,0,0,1,41,22,20,18,3,22,33,66.7,11,20,6,14,27,68,57,1,940,79,254,477,214,7,940,9,15,60.0,13,2,441,21,90,44.7,90.0,17,0,0.0,9,1.12,17,31,-14,-0.82,-1.16,18.9,24.1,-5.3,-0.31,-0.45,0,14,10,0,45,22,0,1,0,72,22,14,61.1,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,24.4,0.0,0.03,0.0,0.0
273,David Luiz,BRA,DF,Arsenal,32,1987,33,32,2809,31.2,2,1,2,0,0,5,2,0.06,0.03,0.1,0.06,0.1,1.6,1.6,0.9,2.5,0.05,0.03,0.08,0.05,0.08,1537,1816,84.6,33337,11719,379,421,90.0,889,938,94.8,254,413,61.5,1,0.9,1.2,0.1,4,100,9,2,81,1816,1697,110,107,12,23,5,3,0,0,0,0,1537,9,7,13,0.42,8,0,0,1,0,4,3,0.1,3,0,0,0,0,0,28,16,14,14,0,13,24,54.2,11,42,37,5,32,60,133,2,2108,331,1126,933,57,16,2108,5,8,62.5,16,5,1449,3,85,82.1,87.0,30,1,25.0,3,1.42,47,38,9,0.29,0.44,40.5,46.6,-6.1,-0.2,0.13,0,30,14,1,5,16,0,5,0,128,51,41,55.4,2.0,23.0,8.0,34.8,0.74,0.26,0.09,0.25,20.4,7.0,0.07,0.4,0.4
274,Douglas Luiz,BRA,MF,Aston Villa,21,1998,36,28,2612,29.0,3,2,3,0,0,8,0,0.1,0.07,0.17,0.1,0.17,2.6,2.6,1.7,4.2,0.09,0.06,0.15,0.09,0.15,1010,1243,81.3,19047,5275,400,460,87.0,454,536,84.7,131,191,68.6,2,1.7,1.6,0.3,17,106,17,5,100,1243,1173,66,40,4,20,24,7,3,0,1,0,1010,4,11,57,1.96,44,1,3,2,3,4,3,0.1,3,0,0,0,0,0,46,24,25,17,4,19,65,29.2,46,42,15,27,36,82,54,1,1549,104,406,877,287,29,1549,35,45,77.8,38,22,919,39,73,76.4,87.0,24,8,20.0,1,0.94,29,51,-22,-0.76,-0.31,32.0,52.8,-20.8,-0.72,-0.42,0,51,36,0,24,24,0,1,0,205,30,35,46.2,3.0,38.0,12.0,31.6,1.31,0.41,0.08,0.25,24.0,3.0,0.07,0.4,0.4
275,John Lundstram,ENG,MF,Sheffield Utd,25,1994,34,26,2458,27.3,5,3,5,0,0,5,0,0.18,0.11,0.29,0.18,0.29,5.3,5.3,3.4,8.7,0.19,0.12,0.32,0.19,0.32,987,1245,79.3,17119,3711,515,604,85.3,329,383,85.9,119,179,66.5,3,3.4,2.2,-0.4,21,70,31,8,80,1245,1209,27,9,3,33,55,5,3,3,0,0,987,9,17,56,2.05,46,1,0,5,2,2,6,0.22,5,0,0,1,0,0,46,30,18,21,7,21,65,32.3,44,18,4,14,33,79,46,1,1524,59,244,716,578,51,1524,18,37,48.6,41,14,1063,73,72,71.9,87.0,21,8,25.0,1,1.38,27,29,-2,-0.07,-0.26,31.1,38.8,-7.6,-0.28,-0.25,0,27,12,7,55,30,0,0,0,157,23,33,41.1,5.0,43.0,10.0,23.3,1.57,0.37,0.12,0.5,17.6,0.0,0.12,-0.3,-0.3
276,Alexis Mac Allister,ARG,"MF,FW",Brighton,20,1998,9,4,352,3.9,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.7,0.12,0.07,0.19,0.12,0.19,77,121,63.6,1144,294,41,51,80.4,25,35,71.4,5,23,21.7,0,0.3,0.2,-0.3,5,6,1,1,4,121,97,24,9,0,0,23,0,15,8,5,0,77,0,4,10,2.56,5,2,1,2,0,0,1,0.26,1,0,0,0,0,0,9,5,4,3,2,5,9,55.6,4,12,0,12,1,10,2,0,167,1,26,67,78,7,167,2,4,50.0,7,7,85,8,39,10.3,70.0,0,5,14.0,1,1.44,4,6,-2,-0.51,-0.13,4.7,5.2,-0.5,-0.14,0.12,0,4,4,1,23,5,0,0,0,15,2,5,28.6,0.0,7.0,1.0,14.3,1.79,0.26,0.0,0.0,22.5,1.0,0.07,-0.5,-0.5
277,James Maddison,ENG,MF,Leicester City,22,1996,31,29,2624,29.2,6,3,6,0,0,4,0,0.21,0.1,0.31,0.21,0.31,5.3,5.3,6.4,11.8,0.18,0.22,0.4,0.18,0.4,1288,1709,75.4,23620,7102,561,640,87.7,512,611,83.8,170,346,49.1,3,6.4,6.5,-3.4,78,157,43,6,151,1709,1443,258,85,19,9,221,7,157,54,71,5,1288,8,29,167,5.73,81,46,14,8,18,0,10,0.34,7,2,1,0,0,0,59,30,13,31,15,23,68,33.8,45,16,0,16,9,68,7,1,1989,16,174,1004,832,71,1989,51,80,63.8,56,29,1434,127,85,76.7,88.0,23,2,36.0,0,1.68,51,26,25,0.86,0.74,46.9,35.0,11.9,0.41,-0.14,0,36,88,4,221,30,0,0,0,162,7,24,22.6,6.0,74.0,18.0,24.3,2.54,0.62,0.08,0.33,22.0,14.0,0.07,0.7,0.7
278,Harry Maguire,ENG,DF,Manchester Utd,26,1993,38,38,3420,38.0,1,1,1,0,0,6,0,0.03,0.03,0.05,0.03,0.05,2.1,2.1,1.4,3.4,0.06,0.04,0.09,0.05,0.09,2192,2535,86.5,43932,13715,690,777,88.8,1193,1298,91.9,286,408,70.1,1,1.4,0.8,-0.4,16,163,0,0,106,2535,2453,77,68,1,43,2,9,0,0,0,0,2192,5,6,37,0.97,31,1,0,2,0,3,0,0.0,0,0,0,0,0,0,37,23,23,14,0,18,34,52.9,16,31,22,9,72,109,159,0,2915,360,1365,1412,166,61,2915,7,11,63.6,11,6,1949,8,90,100.0,90.0,38,0,0.0,0,1.74,66,36,30,0.79,0.0,62.2,37.7,24.5,0.64,0.0,0,33,22,6,2,23,0,0,0,237,173,69,71.5,1.0,31.0,8.0,25.8,0.82,0.21,0.03,0.13,12.7,0.0,0.07,-1.1,-1.1
279,Riyad Mahrez,ALG,"FW,MF",Manchester City,28,1991,33,21,1944,21.6,11,9,10,1,1,0,0,0.51,0.42,0.93,0.46,0.88,7.8,7.0,10.0,17.0,0.36,0.46,0.83,0.33,0.79,1015,1200,84.6,16034,3623,546,589,92.7,314,377,83.3,102,139,73.4,9,10.0,7.3,-1.0,60,43,73,4,100,1200,1118,77,12,11,16,89,10,55,29,3,0,1015,5,21,149,6.9,92,16,23,4,10,4,30,1.39,15,2,6,1,5,1,28,14,11,9,8,11,38,28.9,27,31,1,30,18,46,8,2,1466,20,117,518,848,135,1465,52,89,58.4,46,33,1152,149,59,56.8,79.0,12,12,23.0,5,2.09,65,15,50,2.31,1.28,54.6,19.8,34.8,1.61,0.33,0,13,29,13,89,14,5,0,0,90,10,23,30.3,11.0,73.0,30.0,41.1,3.38,1.39,0.14,0.33,17.0,6.0,0.1,3.2,3.0
280,Ainsley Maitland-Niles,ENG,DF,Arsenal,21,1997,20,15,1386,15.4,0,2,0,0,0,6,1,0.0,0.13,0.13,0.0,0.13,0.4,0.4,1.5,2.0,0.03,0.1,0.13,0.03,0.13,841,1025,82.0,12850,4193,446,502,88.8,311,370,84.1,53,95,55.8,2,1.5,1.4,0.5,11,44,13,5,40,1025,839,185,19,2,4,18,166,0,0,0,0,841,1,11,23,1.49,17,1,1,0,0,4,3,0.19,2,0,0,0,0,1,41,23,34,5,2,22,43,51.2,21,12,3,9,28,69,38,0,1195,71,439,536,229,15,1195,19,34,55.9,17,18,745,18,69,40.5,87.0,14,5,17.0,8,1.7,22,21,1,0.06,-0.24,19.3,22.7,-3.4,-0.22,0.0,1,15,13,0,18,23,0,0,0,86,17,12,58.6,0.0,4.0,1.0,25.0,0.26,0.06,0.0,0.0,18.0,0.0,0.11,-0.4,-0.4
281,Sadio Mane,SEN,FW,Liverpool,27,1992,35,31,2747,30.5,18,7,18,0,0,3,0,0.59,0.23,0.82,0.59,0.82,13.2,13.2,6.6,19.8,0.43,0.22,0.65,0.43,0.65,923,1170,78.9,13179,3116,536,628,85.4,260,327,79.5,64,90,71.1,7,6.6,5.2,0.4,59,67,72,7,111,1170,1143,23,7,6,11,49,13,1,0,1,0,923,4,27,114,3.73,90,0,6,3,12,3,16,0.52,9,0,1,1,4,1,44,32,9,20,15,13,40,32.5,27,19,0,19,13,57,11,2,1538,15,114,560,894,199,1538,69,110,62.7,100,57,1246,241,78,80.3,85.0,19,4,26.0,1,2.57,66,28,38,1.24,-0.63,54.0,29.3,24.8,0.81,-0.04,0,46,51,14,49,32,2,0,0,131,41,75,35.3,18.0,77.0,36.0,46.8,2.52,1.18,0.23,0.5,13.5,0.0,0.18,4.8,4.8
282,Javier Manquillo,ESP,DF,Newcastle Utd,25,1994,21,18,1599,17.8,0,1,0,0,0,5,0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.2,0.3,0.0,0.01,0.02,0.0,0.02,448,642,69.8,6617,2523,245,289,84.8,155,227,68.3,24,68,35.3,1,0.2,0.3,0.8,5,24,7,4,19,642,517,123,3,0,0,45,120,0,0,0,0,448,2,22,21,1.18,16,2,1,0,1,1,4,0.23,2,1,0,0,1,0,39,26,27,8,4,24,38,63.2,14,14,2,12,18,57,56,0,806,80,302,325,190,11,806,13,25,52.0,19,2,401,32,76,46.8,85.0,15,3,21.0,5,1.19,19,21,-2,-0.11,0.78,17.4,26.5,-9.0,-0.51,0.53,0,18,11,1,45,26,0,1,0,83,16,15,51.6,0.0,1.0,0.0,0.0,0.06,0.0,0.0,0.0,11.8,0.0,0.04,0.0,0.0
283,Solly March,ENG,"FW,MF",Brighton,25,1994,19,11,1143,12.7,0,1,0,0,0,2,0,0.0,0.08,0.08,0.0,0.08,1.4,1.4,0.9,2.3,0.11,0.07,0.18,0.11,0.18,451,622,72.5,7809,2100,223,258,86.4,174,233,74.7,45,98,45.9,1,0.9,1.7,0.1,13,21,23,8,45,622,532,90,8,1,15,67,63,15,9,4,0,451,0,16,39,3.07,28,3,4,2,2,0,4,0.31,3,1,0,0,0,0,25,12,16,6,3,9,19,47.4,10,16,4,12,20,45,14,2,772,23,130,302,351,42,772,16,28,57.1,16,30,490,66,60,33.4,81.0,3,8,32.0,6,0.89,15,15,0,0.0,0.59,14.8,19.9,-5.1,-0.4,-0.22,0,10,11,2,67,12,0,0,0,63,15,20,42.9,0.0,21.0,8.0,38.1,1.65,0.63,0.0,0.0,18.5,1.0,0.07,-1.4,-1.4
284,Pablo Mari,ESP,DF,Arsenal,25,1993,2,2,113,1.3,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,100,85.0,1705,493,29,31,93.5,42,44,95.5,14,22,63.6,0,0.0,0.0,0.0,0,6,0,0,3,100,99,1,1,0,1,0,0,0,0,0,0,85,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,2,1,2,0,0,0,0,0.0,0,0,0,0,1,3,10,0,114,19,53,59,2,0,114,0,0,0.0,0,0,83,0,57,3.3,57.0,1,0,0.0,0,1.5,1,0,1,0.8,0.61,1.3,1.6,-0.3,-0.22,0.0,0,2,0,0,0,1,0,0,0,9,4,2,66.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
285,Adrian Mariappa,JAM,DF,Watford,32,1986,20,15,1513,16.8,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.5,0.01,0.01,0.03,0.01,0.03,426,615,69.3,7151,3376,206,241,85.5,173,256,67.6,34,83,41.0,0,0.2,0.2,-0.2,4,35,3,3,30,615,479,133,5,0,2,22,128,0,0,0,0,426,3,6,12,0.71,10,1,0,0,0,1,1,0.06,1,0,0,0,0,0,20,14,15,4,1,11,30,36.7,19,22,7,15,11,31,73,0,777,90,326,347,105,6,777,1,1,100.0,9,3,331,4,76,44.2,88.0,14,5,39.0,9,0.8,16,33,-17,-1.01,-0.49,19.6,33.5,-13.9,-0.83,-1.05,1,20,7,2,22,14,0,0,1,49,42,30,58.3,0.0,3.0,0.0,0.0,0.18,0.0,0.0,0.0,11.1,0.0,0.08,-0.2,-0.2
286,Anthony Martial,FRA,FW,Manchester Utd,23,1995,32,31,2624,29.2,17,6,17,0,1,1,0,0.58,0.21,0.79,0.58,0.79,12.1,11.3,4.4,15.7,0.41,0.15,0.56,0.39,0.54,580,731,79.3,7220,1694,349,395,88.4,160,196,81.6,16,22,72.7,6,4.4,3.7,1.6,30,37,37,2,63,731,694,34,4,5,0,11,5,0,0,0,0,580,3,26,98,3.36,75,0,11,6,6,0,19,0.65,13,0,2,2,2,0,15,12,1,4,10,1,16,6.3,15,18,1,17,5,20,17,0,1032,18,48,327,670,157,1031,50,97,51.5,74,61,881,249,82,76.7,84.0,14,1,7.0,0,1.81,56,27,29,0.99,0.88,48.0,29.4,18.7,0.64,-0.02,0,28,41,12,11,12,1,0,0,44,18,67,21.2,17.0,79.0,38.0,48.1,2.71,1.3,0.22,0.45,16.5,0.0,0.14,4.9,5.7
288,Josh Martin,ENG,"FW,MF",Norwich City,17,2001,5,0,37,0.4,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.19,0.0,0.19,0.19,0.19,12,15,80.0,163,28,11,11,100.0,0,1,0.0,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0,1,0,1,1,2,0,0,19,0,4,9,6,1,19,0,0,0.0,0,0,13,3,7,1.1,0.0,0,5,7.0,3,0.0,0,2,-2,-4.86,-3.61,0.9,1.1,-0.2,-0.46,0.32,0,1,0,0,0,0,0,0,0,2,0,0,0.0,0.0,1.0,1.0,100.0,2.43,2.43,0.0,0.0,13.0,0.0,0.08,-0.1,-0.1
289,Martinelli,BRA,FW,Arsenal,18,2001,14,6,663,7.4,3,0,3,0,0,1,0,0.41,0.0,0.41,0.41,0.41,2.2,2.2,0.1,2.3,0.29,0.01,0.31,0.29,0.31,82,140,58.6,1073,283,54,79,68.4,20,37,54.1,4,7,57.1,0,0.1,0.2,-0.1,2,3,5,0,7,140,137,2,1,1,1,22,1,0,0,0,0,82,1,8,8,1.09,5,0,0,1,1,1,0,0.0,0,0,0,0,0,0,20,15,10,6,4,7,20,35.0,13,15,1,14,3,23,8,0,271,11,60,91,128,36,271,9,32,28.1,29,12,181,38,47,19.4,90.0,5,8,16.0,10,1.21,7,9,-2,-0.27,-0.6,8.4,11.2,-2.8,-0.38,-0.2,0,9,10,2,22,15,0,0,0,34,7,35,16.7,3.0,12.0,5.0,41.7,1.63,0.68,0.25,0.6,12.9,0.0,0.18,0.8,0.8
291,Adam Masina,MAR,DF,Watford,25,1994,26,20,1821,20.2,1,0,1,0,0,3,0,0.05,0.0,0.05,0.05,0.05,0.9,0.9,0.6,1.5,0.05,0.03,0.07,0.05,0.07,574,962,59.7,10202,5055,276,342,80.7,223,367,60.8,65,198,32.8,0,0.6,0.7,-0.6,11,53,13,11,39,962,743,213,15,1,13,69,190,8,5,2,0,574,6,24,23,1.14,20,2,0,1,0,0,1,0.05,0,1,0,0,0,0,38,22,24,11,3,14,37,37.8,23,26,12,14,28,66,66,0,1184,86,390,550,255,19,1184,9,16,56.3,16,12,512,19,70,53.2,86.0,16,6,17.0,3,1.0,18,31,-13,-0.64,0.2,26.8,28.5,-1.7,-0.08,0.35,0,26,12,2,69,22,0,1,0,99,67,33,67.0,1.0,15.0,3.0,20.0,0.74,0.15,0.07,0.33,21.1,1.0,0.06,0.1,0.1
292,Arthur Masuaku,COD,DF,West Ham,25,1993,17,10,937,10.4,0,1,0,0,0,6,1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,1.2,1.3,0.01,0.11,0.13,0.01,0.13,476,609,78.2,6764,2668,303,348,87.1,137,167,82.0,23,53,43.4,1,1.2,0.9,-0.2,7,32,5,3,28,609,519,88,9,2,7,25,79,0,0,0,0,476,2,16,13,1.25,10,0,0,0,0,3,1,0.1,1,0,0,0,0,0,41,23,24,13,4,23,39,59.0,16,19,5,14,14,55,23,0,757,45,242,362,161,11,757,27,44,61.4,15,19,426,17,55,27.4,81.0,7,7,18.0,7,1.18,7,18,-11,-1.06,-0.98,10.3,20.7,-10.4,-1.0,-0.82,1,10,9,0,25,23,0,0,0,74,12,14,46.2,0.0,5.0,2.0,40.0,0.48,0.19,0.0,0.0,27.7,0.0,0.02,-0.1,-0.1
293,Juan Mata,ESP,"MF,FW",Manchester Utd,31,1988,19,8,758,8.4,0,2,0,0,0,1,0,0.0,0.24,0.24,0.0,0.24,1.1,1.1,2.1,3.2,0.13,0.25,0.38,0.13,0.38,459,543,84.5,6656,1554,275,288,95.5,120,150,80.0,36,52,69.2,2,2.1,2.5,-0.1,18,40,23,3,43,543,508,33,11,4,7,23,7,10,7,1,0,459,2,8,41,4.87,34,3,1,2,1,0,3,0.36,3,0,0,0,0,0,7,3,1,5,1,2,7,28.6,5,5,1,4,0,7,2,0,600,3,33,295,274,33,600,5,12,41.7,13,8,498,54,40,22.2,78.0,2,11,12.0,19,1.26,9,8,1,0.12,-0.86,13.1,8.0,5.1,0.61,-0.05,0,7,10,4,23,3,0,0,0,33,2,5,28.6,0.0,10.0,2.0,20.0,1.19,0.24,0.0,0.0,18.5,2.0,0.11,-1.1,-1.1
294,Nemanja Matic,SRB,MF,Manchester Utd,30,1988,21,18,1581,17.6,0,2,0,0,0,3,0,0.0,0.11,0.11,0.0,0.11,0.2,0.2,0.7,1.0,0.01,0.04,0.05,0.01,0.05,1106,1273,86.9,18157,5264,543,583,93.1,437,482,90.7,87,130,66.9,2,0.7,0.9,1.3,15,120,11,2,82,1273,1242,30,26,2,8,3,4,0,0,0,0,1106,1,25,50,2.85,44,0,2,0,1,3,4,0.23,4,0,0,0,0,0,46,24,23,19,4,20,43,46.5,23,21,8,13,22,68,28,1,1434,60,357,847,237,5,1434,20,24,83.3,18,16,1019,9,75,46.2,84.0,13,3,21.0,6,1.95,36,13,23,1.31,0.97,28.1,16.4,11.7,0.67,0.04,0,27,18,0,3,24,0,0,0,146,26,23,53.1,0.0,7.0,2.0,28.6,0.4,0.11,0.0,0.0,26.2,0.0,0.03,-0.2,-0.2
295,Joel Matip,CMR,DF,Liverpool,27,1991,9,8,703,7.8,1,0,1,0,0,0,0,0.13,0.0,0.13,0.13,0.13,0.3,0.3,0.0,0.4,0.04,0.0,0.05,0.04,0.05,470,558,84.2,9060,3178,147,171,86.0,282,303,93.1,34,71,47.9,0,0.0,0.2,0.0,1,43,2,0,28,558,544,14,10,0,3,1,4,0,0,0,0,470,0,0,8,1.02,6,0,0,0,1,1,0,0.0,0,0,0,0,0,0,13,9,4,7,2,4,11,36.4,7,8,4,4,12,25,38,0,639,54,262,346,33,8,639,2,2,100.0,3,2,419,3,78,20.6,88.0,7,1,1.0,7,2.56,15,5,10,1.28,-0.11,12.0,7.7,4.3,0.55,-0.34,0,7,6,0,1,9,0,0,0,51,45,5,90.0,1.0,4.0,1.0,25.0,0.51,0.13,0.25,1.0,10.2,0.0,0.09,0.7,0.7
296,Neal Maupay,FRA,FW,Brighton,22,1996,37,30,2766,30.7,10,3,9,1,2,3,0,0.33,0.1,0.42,0.29,0.39,13.4,11.8,2.1,13.9,0.44,0.07,0.5,0.38,0.45,543,699,77.7,7725,1303,314,364,86.3,174,212,82.1,27,36,75.0,3,2.1,1.9,0.9,25,35,23,1,50,699,618,74,7,4,4,12,12,0,0,0,0,543,7,26,73,2.38,53,0,5,11,4,0,7,0.23,6,0,1,0,0,0,20,12,1,13,6,9,29,31.0,20,24,0,24,4,24,10,0,1034,15,71,425,548,158,1032,24,68,35.3,79,56,740,246,75,80.9,86.0,20,7,29.0,1,1.08,33,36,-3,-0.1,1.55,39.5,45.1,-5.6,-0.18,0.36,0,38,46,15,12,12,0,0,0,98,25,87,22.3,10.0,94.0,36.0,38.3,3.06,1.17,0.1,0.25,15.5,0.0,0.13,-3.4,-2.8
297,James McArthur,SCO,MF,Crystal Palace,31,1987,37,37,3090,34.3,0,3,0,0,0,6,0,0.0,0.09,0.09,0.0,0.09,2.0,2.0,2.4,4.4,0.06,0.07,0.13,0.06,0.13,1166,1513,77.1,18242,5976,624,706,88.4,415,511,81.2,84,157,53.5,3,2.4,2.4,0.6,34,124,23,5,106,1513,1427,83,5,4,10,44,38,1,0,0,0,1166,3,49,67,1.95,55,0,5,3,4,0,8,0.23,5,0,0,1,2,0,88,51,43,34,11,37,106,34.9,69,69,19,50,60,148,56,0,1966,102,481,1009,495,85,1966,29,44,65.9,56,39,1176,116,84,90.4,84.0,22,0,0.0,0,1.16,30,38,-8,-0.23,2.77,31.7,49.9,-18.3,-0.53,0.26,0,57,35,4,44,51,1,0,0,185,43,72,37.4,0.0,28.0,6.0,21.4,0.82,0.17,0.0,0.0,18.5,0.0,0.07,-2.0,-2.0
298,Oliver McBurnie,SCO,FW,Sheffield Utd,23,1996,36,24,2113,23.5,6,0,6,0,0,4,0,0.26,0.0,0.26,0.26,0.26,7.7,7.7,1.1,8.8,0.33,0.05,0.38,0.33,0.38,376,633,59.4,4833,1277,245,376,65.2,99,157,63.1,9,16,56.3,0,1.1,1.8,-1.1,10,38,10,1,37,633,626,2,0,1,2,9,2,0,0,0,0,376,5,13,31,1.32,21,0,2,7,1,0,2,0.09,0,0,0,2,0,0,37,22,6,27,4,11,40,27.5,29,25,3,22,15,52,43,0,926,46,108,393,435,106,926,22,44,50.0,43,34,631,102,59,61.8,76.0,7,12,24.0,2,1.44,22,25,-3,-0.13,-0.33,27.5,32.3,-4.8,-0.2,0.01,0,28,28,5,9,22,0,0,0,91,197,193,50.5,6.0,50.0,24.0,48.0,2.13,1.02,0.12,0.25,10.3,0.0,0.15,-1.7,-1.7
